,atom,G1a,G1b,G1c,G2a,G2b,force
7716,36,0.6697232788901362,0.1982553286416298,0.3737230896953206,0.077816,0.221108,5.440647018829655
7717,37,0.7112269335279976,0.4742597206313655,0.17846136308178742,0.097034,0.28928200000000004,3.4960852745011812
7718,38,0.5964574722514511,0.5672467067405268,0.2149847507074656,0.087542,0.269826,2.6121688959517217
7719,39,0.5161024198106484,0.5737968867608669,0.3470643424315746,0.083451,0.258839,3.915675121028429
7720,40,0.3136743781627196,0.477189925739897,0.39201358405611497,0.040266,0.123189,6.050479228697507
7721,41,0.7694175028769645,0.4486623921112629,0.1832498922298521,0.076675,0.221498,3.0319111224721365
7722,42,0.7138700740727265,0.15805347173171042,0.2628026568872208,0.06711900000000001,0.183023,5.853782278932487
7723,43,0.5946061068987193,0.13008729065190736,0.21376185344827575,0.063218,0.16352,4.543576991922113
7724,44,0.6831056831302094,0.6839914641477071,0.20146065862220644,0.071198,0.222287,3.3017300394635534
7725,45,0.6912800033591933,0.6562453374050852,0.2354896789022951,0.073247,0.237922,1.2745296696836836
7726,46,0.7181235487415836,0.4242938651660899,0.2467319530509961,0.07413099999999999,0.214377,2.458568373189975
7727,47,0.6429978599951786,0.2500387006936345,0.3541386481870471,0.06395,0.188156,2.2351397020266988
7728,48,0.5738039076284782,0.4877774261180641,0.1852703054492313,0.100423,0.29981,1.7799657488266452
7729,49,0.7474834554040576,0.4331858041289071,0.308925491266038,0.090723,0.281767,4.469748167525771
7730,50,0.9443389535432573,0.3470620059327942,0.11944855964955801,0.097207,0.288387,4.98230286299418
7731,51,0.3959178334852431,0.3886883435603805,0.21820345737902846,0.080809,0.217542,8.663885237772947
7732,52,0.9273181313751278,0.4919404396827157,0.19978546764722555,0.08589,0.258093,2.1854363168992132
7733,53,0.719664840734138,0.4225165874711023,0.2710850443609112,0.08011599999999999,0.245339,1.326985213397557
7734,54,0.8389312647992221,0.3911247300214086,0.15548651376762712,0.086902,0.256542,4.172807650638116
